index,SLICES,POSCAR,formula,energy_per_atom_IAP,energy_per_atom_sym_IAP,space_group_number_IAP,dissimilarity,    energy_above_hull_IAP,band_gap_alignn,space_group_number_PBE,energy_above_hull_PBE,energy_per_atom_PBE,dir_gap,indir_gap
515558,Ca Sr Au Bi 3 0 - - o 3 0 o o - 2 1 + o o 0 1 o + o 2 0 o o - 3 0 - o - 3 2 o - o 3 2 o - o 0 1 + o o 2 1 o + o 0 1 o o + 3 2 - o o 3 2 o - - 2 0 o - o 3 2 o o - 3 2 - o - 3 1 - o o 3 1 o - o 2 1 o o o 3 0 - - o 3 0 - - - 0 1 + + o 3 1 o o o 2 0 o o o 0 1 o + + 2 0 - o o 3 1 o o o 2 1 + o o 2 1 o o +,temp\n   1.00000000000000     \n     0.0000000000000006    3.9199189504252714    3.9199189504252718\n     3.9199189504252714    0.0000000000000000    3.9199189504252718\n     3.9199189504252718    3.9199189504252714    0.0000000000000005\n   Sr   Ca   Bi   Au\n     1     1     1     1\nDirect\n  0.0000000000000000  0.0000000000000000  0.0000000000000000\n  0.5000000000000000  0.5000000000000000  0.5000000000000000\n  0.2500000000000000  0.2500000000000000  0.2500000000000000\n  0.7500000000000000  0.7500000000000000  0.7500000000000000\n \n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n,Sr1Ca1Bi1Au1,-3.585831642150879,-3.575261116027832,160,0.7843635064560881,0.0,0.31164252758026123,216,0.01423,-3.5411,0.2398,0.2398
64795,Ca As Sr Zn As 1 0 o + + 3 1 o o o 1 4 + + o 1 2 - o o 4 2 - - o 4 2 o o o 4 2 - o o 3 4 o + o 3 0 o + o 3 0 o o o 3 4 o o o 3 2 - o o 3 1 o o o 1 4 + + o 1 0 + o + 3 4 o o o 1 0 + + + 3 0 + + o 1 4 + o o 3 2 o + o 4 0 o o o 3 2 o + o 4 0 o o + 1 2 o o o,temp\n   1.00000000000000     \n     2.2876923651827727   -3.9623994085839760   -0.0000000000000000\n     2.2876923651827727    3.9623994085839760    0.0000000000000000\n     0.0000000000000000   -0.0000000000000000    7.4866360449691518\n   Sr   Ca   Zn   As\n     1     1     1     2\nDirect\n  0.3333333333333357  0.6666666666666643  0.6418436694694699\n  0.6666666666666643  0.3333333333333357  0.0251596979963183\n  0.0000000000000000 -0.0000000000000000  0.2787502933186310\n  0.0000000000000000 -0.0000000000000000  0.9019015485984878\n  0.6666666666666643  0.3333333333333357  0.4010147906170899\n \n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n,Sr1Ca1Zn1As2,-3.792304229736328,-3.796085357666016,8,0.7546837765972425,0.0,0.15334683656692505,156,0.03309,-3.74973,0.3057,0.3057
669955,P P Cd Na Cd Na 5 1 o o o 2 0 - - o 5 3 + o o 1 4 o o - 3 1 o + o 5 1 o o o 2 1 o o + 2 3 o o o 3 4 - o o 2 4 - o o 5 0 o o o 5 4 o o o 5 4 o o o 5 1 + + o 1 0 - o - 2 1 o + + 3 4 - o o 3 4 o o o 2 1 o o + 2 3 o - o 5 3 o o o 5 0 o o - 3 1 o + o 2 0 o o o 3 1 o o o 2 0 o - o 2 4 o - o 5 2 + o - 3 0 o o o 3 0 - + o,temp\n   1.00000000000000     \n     4.5504728931751046   -0.0000000000000000    0.0000000000000003\n     0.0000000000000007    4.5808369409422145    0.0000000000000003\n     0.0000000000000000   -0.0000000000000000    6.9626795197231246\n   Na   Cd   P \n     2     2     2\nDirect\n  0.0000000000000000  0.8490972278005159  0.9263580268140593\n  0.5000000000000000  0.3490972278005159  0.0736419731859406\n -0.0000000000000000  0.0533333736658873  0.4819380767452857\n  0.5000000000000000  0.5533333736658873  0.5180619232547143\n  0.5000000000000000  0.0498493864992144  0.7169020562909640\n  0.0000000000000000  0.5498493864992144  0.2830979437090360\n \n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n,Na2Cd2P2,-2.8171237309773765,-2.820640246073405,31,0.7969973564434208,0.0,0.5417501330375671,31,0.01974,-2.78687,0.3339,0.3339
918460,Cs Li K Sb 0 1 o o - 1 2 o o + 2 3 o o - 1 3 + o o 1 3 o o + 2 3 - o o 2 3 o o o 2 3 o - o 0 3 - o o 2 3 o - o 0 1 o - - 1 2 o + o 0 2 o o o 1 2 + + o 0 1 - - o 0 1 - o - 1 3 + o o 0 2 o - o 0 2 - o o 0 3 o - - 0 3 o - o 1 2 o + + 0 3 - o - 1 3 o o o 0 2 o o - 0 1 - - - 0 3 - - o 1 2 + o +,temp\n   1.00000000000000     \n     6.8810173695682648   -2.6480301043287220    0.0080257837792665\n     6.8810173695682648    2.6480301043287220    0.0080257837792665\n     5.8567583306315294   -0.0000000000000000    4.4787174217084518\n   Cs   K    Li   Sb\n     1     1     1     1\nDirect\n  0.9239842679036187  0.9239842679036187  0.9239842679036187\n  0.7240547126551121  0.7240547126551121  0.7240547126551121\n  0.1420752177778360  0.1420752177778360  0.1420752177778360\n  0.4745398369209405  0.4745398369209405  0.4745398369209405\n \n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n,Cs1K1Li1Sb1,-2.528271436691284,-2.5296589533487954,160,1.0527768914781788,0.0,0.6296085715293884,160,0.04937,-2.45914,0.4697,0.4697
465412,As Cs Cs Zn As Zn 2 5 o o o 2 5 - - o 4 3 o o o 4 5 - o o 2 0 - - o 4 5 o o o 1 0 - o o 2 4 - - o 2 1 o - o 2 3 o o - 2 3 - - - 2 4 o - o 4 1 o o o 2 0 o o o 0 3 o - o 2 1 o o o 0 3 + o - 1 5 o + o 0 3 o o - 2 0 - - o 2 5 - o o 4 3 o o o 2 5 o o o 1 3 o o o 4 1 o o o 1 3 o + o 0 5 o o o 4 5 - o o 2 4 o - - 0 1 + - o 2 0 o - o 0 3 o - - 4 1 + + o,temp\n   1.00000000000000     \n     2.1551356558847989   -7.4837475357486056   -0.0000000000000003\n     2.1551356558848016    7.4837475357486056    0.0000000000000006\n     0.0000000000000000    0.0000000000000000    6.0867836825455921\n   Cs   Zn   As\n     2     2     2\nDirect\n  0.9249366904924653  0.0750633095075347  0.4888510300008460\n  0.0750633095075347  0.9249366904924653  0.9888510300008460\n  0.2273889369842619  0.7726110630157381  0.4185826781908771\n  0.7726110630157381  0.2273889369842619  0.9185826781908770\n  0.3295562460793768  0.6704437539206231  0.0796701261079866\n  0.6704437539206231  0.3295562460793768  0.5796701261079865\n \n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n,Cs2Zn2As2,-2.728630383809408,-2.725255330403646,36,0.8150836226063938,0.0,0.6948804259300232,36,0.0,-2.60854,0.4931,0.4931
295236,Mg Zn Zn As As 0 1 o - - 0 3 o o o 4 1 o o o 0 2 - - o 1 3 o o o 4 3 o - o 0 1 - - - 0 1 o o - 1 3 o - o 4 1 + o o 0 2 o o o 1 2 o o o 4 3 o o o 0 2 - o o 1 3 o o o 4 2 o o o 0 2 - - o 4 1 + o o 4 3 o - o 0 4 - - - 4 2 o - o 4 1 + o o 0 4 - o - 0 3 o - o,temp\n   1.00000000000000     \n     6.9999265108744613   -2.0478617147713551    0.0068273105466880\n     6.9999265108744613    2.0478617147713551    0.0068273105466880\n     6.3974055945010289   -0.0000000000000000    3.5022788341429378\n   Mg   Zn   As\n     1     2     2\nDirect\n  0.0000000000000000  0.0000000000000000 -0.0000000000000000\n  0.1303609314271089  0.1303609314271089  0.1303609314271089\n  0.8696390685728911  0.8696390685728911  0.8696390685728911\n  0.2549520155419968  0.2549520155419968  0.2549520155419968\n  0.7450479844580032  0.7450479844580032  0.7450479844580032\n \n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n,Mg1Zn2As2,-2.8753576278686523,-2.9985240936279296,2,0.7898936950211506,0.0,0.5512517094612122,166,0.02876,-2.96943,0.201,0.201
428419,Cd As Mg As Mg 0 2 o - - 3 4 o - o 0 1 o o - 4 2 o o o 4 1 - o o 3 2 o - o 4 0 o o o 3 0 o o o 3 0 - - o 4 0 o + o 3 1 o o o 3 0 - - o 0 2 o o - 0 2 + o o 3 4 - - o 3 4 o o o 3 1 o o o 4 1 o + o 3 1 - - o 4 0 - o o 4 1 o o o 0 2 o o - 3 2 - - o,temp\n   1.00000000000000     \n     7.5012104663461114   -2.2212016715896077    0.0086712542405305\n     7.5012104663461114    2.2212016715896077    0.0086712542405305\n     6.8391040657920454    0.0000000000000000    3.7985031386336550\n   Mg   Cd   As\n     2     1     2\nDirect\n  0.6682160969313531  0.6682160969313531  0.6682160969313531\n  0.9058942898721806  0.9058942898721806  0.9058942898721806\n  0.1403045996402538  0.1403045996402538  0.1403045996402538\n  0.0227990052808708  0.0227990052808708  0.0227990052808708\n  0.5336632094027254  0.5336632094027254  0.5336632094027254\n \n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n,Mg2Cd1As2,-3.1575992584228514,-3.158424949645996,8,0.7702775628382762,0.0,0.6458972096443176,160,0.04925,-3.08735,0.1085,0.1085
362110,P Li Li Sb Zn Zn 5 1 - - o 0 2 - o o 4 3 o - o 5 4 o o o 1 3 o o - 5 2 o o o 4 1 o o + 0 1 o o o 0 3 o o - 5 2 - o o 5 3 - - o 0 3 o - - 5 3 o o o 1 3 o o - 4 2 o o o 4 1 + o + 0 2 o + o 4 3 + o o 0 2 o + o 5 2 - o o 5 1 o - o 1 2 o o o 4 2 o o o 5 3 o - o 0 4 - o - 0 4 - o o 0 4 - - - 4 1 o - + 0 1 - - o 5 2 - - o,temp\n   1.00000000000000     \n     4.2784824949427689   -0.0000000000000000    0.0000000000000003\n     0.0000000000000007    4.2784824949427689    0.0000000000000003\n     0.0000000000000000    0.0000000000000000    6.1607290524778193\n   Li   Zn   Sb   P \n     2     2     1     1\nDirect\n -0.0000000000000000  0.5000000000000000  0.2260761313779621\n  0.5000000000000000 -0.0000000000000000  0.7739238686220309\n  0.5000000000000000 -0.0000000000000000  0.2315556485825979\n  0.0000000000000000  0.5000000000000000  0.7684443514174021\n  0.0000000000000000  0.0000000000000000  0.5000000000000000\n  0.5000000000000000  0.5000000000000000 -0.0000000000000000\n \n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n,Li2Zn2Sb1P1,-3.1231635411580405,-3.123894373575846,6,0.8493182739535616,0.013961399757487225,0.7371411919593811,115,0.04705,-3.09081,0.2669,0.2669
1065945,Sn Ca P Ca Ca Ca Ca F Ca Sn 9 8 + o o 4 3 o o o 9 6 o o o 5 1 o - o 0 2 + + o 5 1 - o o 7 2 o + o 0 6 o o o 0 6 o o o 5 3 o o + 9 3 o o o 9 6 o o o 7 3 o o o 9 8 o o o 0 1 o o - 5 2 o o + 7 2 o o + 4 6 - o o 5 2 o + + 4 1 o - o 0 2 o o o 6 2 o + o 4 8 o + o 7 8 o o o 7 2 + o + 7 8 + o o 4 2 o o + 9 3 o o o 4 2 o o o 0 8 + o o 5 3 o o o 6 8 o o o 6 1 o o - 9 3 + o o,temp\n   1.00000000000000     \n     2.4641498741619010    8.4446820450485287    0.1099947907539213\n     2.4641498741619010   -8.4446820450485287   -0.1099947907539213\n     0.0000000000000000   -2.8353628755157740   -6.7155067798143273\n   Ca   Sn   P    F \n     6     2     1     1\nDirect\n  0.2253206228776665  0.7746793771223336  0.2404951275122884\n  0.8274032856180767  0.1725967143819233  0.6443951750376608\n  0.4472578060330842  0.5527421939669158  0.5027101426247602\n  0.6630659552611200  0.3369340447388799  0.8411996881737885\n  0.0660184812221366  0.9339815187778634  0.4147708263071982\n  0.4750640211624744  0.5249359788375256  0.0384441171276855\n  0.0406254923493032  0.9593745076506968  0.8363433739715824\n  0.8579241150167016  0.1420758849832983  0.1670177489911623\n  0.6423463482420814  0.3576536517579187  0.4160432141771451\n  0.3296305412003587  0.6703694587996414  0.5825405860767420\n \n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n,Ca6Sn2P1F1,-3.9599624633789055,-3.9688323974609374,8,0.8527231321689519,0.009030890539062586,0.12122563272714615,8,0.02138,-3.95649,0.4795,0.4795
335428,As Mg Mg Bi Na Na 2 4 o o o 2 4 - o o 2 5 o - o 5 4 o + - 4 0 + o o 1 3 o + o 1 5 + o + 1 0 + o o 4 3 o o o 2 4 o o o 1 0 o + o 1 5 + o + 1 5 o o + 2 4 o o o 2 4 - - o 2 3 - o o 1 3 o o o 5 0 o o o 4 0 o o o 2 3 o o o 2 3 o - o 2 5 o o o 1 5 o o + 5 3 - o o 4 3 o - o 1 0 + + o 1 0 + + o 5 0 o o - 5 4 - + - 1 5 o o o 5 4 - o -,temp\n   1.00000000000000     \n     4.7922405747310357    0.0000000000000000    0.0000000000000003\n     0.0000000000000008    4.7922405747310357    0.0000000000000003\n     0.0000000000000000    0.0000000000000000    7.1806302721373436\n   Na   Mg   Bi   As\n     2     2     1     1\nDirect\n  0.5000000000000000  0.0000000000000000  0.7266937108116593\n  0.0000000000000000  0.5000000000000000  0.7266937108116593\n  0.5000000000000000  0.0000000000000000  0.1948321344370427\n  0.0000000000000000  0.5000000000000000  0.1948321344370427\n  0.0000000000000000  0.0000000000000000  0.4334696772146458\n  0.5000000000000000  0.5000000000000000  0.9940383059021372\n \n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n,Na2Mg2Bi1As1,-2.8503335316975917,-2.8508167266845703,6,0.8901497590752078,0.003246145537652012,0.5255632400512695,99,0.0,-2.86243,0.4254,0.4254
