index,SLICES,POSCAR,formula,energy_per_atom_IAP,energy_per_atom_sym_IAP,space_group_number_IAP,dissimilarity,energy_above_hull_IAP,band_gap_alignn,space_group_number_PBE,energy_above_hull_PBE,energy_per_atom_PBE,dir_gap,indir_gap
1124740,Bi Li Li Li Li Bi 0 5 o - o 4 5 + - o 3 4 o o o 3 1 o o o 3 2 o o + 1 5 o - o 3 4 - o o 4 2 o - o 1 2 o o o 0 5 o - + 1 2 - - o 0 1 + o o 3 1 o - o 0 1 o o o 4 2 o o o 3 4 - o o 4 2 o o o 3 5 o o o 3 1 - - o 4 5 o - o 1 5 o o o 0 4 o o o 0 1 + o o 3 2 o - o 0 5 + o + 0 5 o o + 0 2 o o o 0 1 + o o 1 2 - o o 0 2 + o o 3 4 - - o 4 5 o - o,temp\n   1.00000000000000     \n    -1.6573590724696932    2.2372226235387869    4.3077897806635770\n     1.6573590724696932   -2.2372226235387869    4.3077897806635770\n     1.6573590724696941    2.2372226235387869   -4.3077897806635770\n   Li   Bi\n     2     1\nDirect\n  0.6617174075597243  0.1617174075597243  0.5000000000000000\n  0.3382825924402757  0.8382825924402757  0.5000000000000000\n  0.0000000000000000  0.5000000000000000  0.5000000000000000\n \n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n,Li4Bi2,-3.110881487528483,-3.112473487854004,2,0.7875028954360103,0.0,0.1246582493185997,71,0.01351,-3.03334,0.0,-5.6792
273644,Bi Li Li Li Li Bi 4 0 o - o 4 3 o - o 4 2 o o o 5 1 o o o 0 2 + + o 4 3 o o o 3 1 o + + 3 0 o o o 5 0 - o - 3 1 o o + 5 2 o o - 4 1 + o + 5 3 o o o 4 1 + o + 5 3 - - - 5 2 o o - 0 2 o o o 0 2 o + o 4 2 + o o 5 0 - - o 3 2 + + o 4 2 + + o 4 3 o o o 5 1 o o o 4 0 o o o 0 1 o o + 4 1 o o o 5 1 - o o 3 2 o o o 5 0 o - - 3 2 + + o 4 0 o - o 5 1 - - o,temp\n   1.00000000000000     \n     3.3823991998549348    0.0000000000000000    0.0000000000000002\n     0.0000000000000008    4.7095306387251643    0.0000000000000003\n     0.0000000000000000    0.0000000000000000    8.0894471126658942\n   Li   Bi\n     4     2\nDirect\n  0.0000000000000000  0.5000000000000000  0.9577242381375086\n  0.0000000000000000  0.0000000000000000  0.3830902559614913\n  0.5000000000000000  0.0000000000000000  0.0422757618624914\n  0.5000000000000000  0.5000000000000000  0.6169097440385087\n  0.5000000000000000  0.5000000000000000  0.2558091813520491\n  0.0000000000000000  0.0000000000000000  0.7441908186479509\n \n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n,Li4Bi2,-3.087282180786133,-3.0906492869059243,6,0.8011181119082431,0.0,0.31900855898857117,59,0.0,-3.06038,0.0001,-4.9703
996077,Li Li Li Bi Li Bi 1 3 + o + 2 4 o o o 0 3 + - o 5 3 o + + 1 3 o o + 0 4 o + o 2 5 o o o 0 3 o o o 2 3 + o o 2 0 o - o 0 3 o o o 4 3 o o o 1 4 + o o 2 0 - - o 4 3 o - o 1 4 o o o 2 5 o - - 2 0 o o o 1 5 o o o 1 4 + o o 1 0 o - o 4 3 o - o 4 5 - - - 1 0 o o o 2 4 + o o 1 5 o o o 4 5 o o - 2 5 o o - 1 5 + o o 0 5 o o o 1 3 + - o 2 0 - o o 2 5 - o -,temp\n   1.00000000000000     \n    -1.9206641680076793    1.9206641680076795    4.3514663887861529\n     1.9206641680076793   -1.9206641680076795    4.3514663887861529\n     1.9206641680076797    1.9206641680076795   -4.3514663887861529\n   Li   Bi\n     2     1\nDirect\n  0.1639683692966258  0.1639683692966258  0.0000000000000000\n  0.8360316307033742  0.8360316307033742  0.0000000000000000\n  0.5000000000000000  0.5000000000000000  0.0000000000000000\n \n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n,Li4Bi2,-3.0835183461507163,-3.0843470891316733,8,1.0273217566186799,0.0,0.23051461577415466,139,0.03951,-3.00734,0.0,-4.3836
305441,Bi Li Li Li Li Bi 4 0 + + o 5 0 + o o 4 1 + + o 3 5 o o + 3 1 o o o 2 0 + o o 5 0 o o o 2 1 o o - 2 3 o o - 5 1 o - - 5 1 - - - 4 3 o o o 5 3 o + - 4 0 o o o 4 5 + o + 2 3 o o o 4 5 + + o 2 0 o + o 4 0 o o o 2 1 o o o 4 1 o - o 2 1 o o - 2 3 - o - 2 5 o + o 4 1 + o o 3 1 o - o 3 0 + o o 5 1 - - - 3 0 + + o 4 5 o o + 2 0 o + o 2 5 + + o 4 0 + o o,temp\n   1.00000000000000     \n    -1.6518914789778993    2.2313447730803433    4.3100042215023127\n     1.6518914789778993   -2.2313447730803433    4.3100042215023127\n     1.6518914789779002    2.2313447730803433   -4.3100042215023127\n   Li   Bi\n     2     1\nDirect\n  0.1619627982576619  0.6619627982576619  0.5000000000000000\n  0.8380372017423381  0.3380372017423381  0.5000000000000000\n  0.5000000000000000 -0.0000000000000000  0.5000000000000000\n \n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n,Li4Bi2,-3.0969025293986,-3.098418129814996,160,0.8554767067004556,0.0,0.2593076825141907,71,0.01351,-3.03334,0.0,-5.6878
1139593,N Li Li Li Li 0 3 o o o 4 3 o o o 1 2 o o o 4 2 o o o 1 0 o o o 0 2 + o o 1 2 o + o 0 3 o o o 1 3 o o + 4 2 o + o 4 0 o o o 4 1 o - o 1 2 o + o 0 2 o o o 4 0 o + + 4 3 - o + 0 3 + o o 1 2 - o o 1 3 o o + 4 2 - o o 4 3 o + + 0 3 + o o,temp\n   1.00000000000000     \n     2.4947422476174945    2.5177492773330639   -0.0116830779386153\n     2.4947422476174945   -2.5177492773330639    0.0116830779386153\n    -0.0000000000000000   -1.2127297581174710   -5.0845471931211437\n   Li   N \n     4     1\nDirect\n  0.4473171221002939  0.0509326864640734  0.7872391409057975\n  0.0509326864640734  0.4473171221002939  0.2127608590942026\n  0.9490673135359265  0.5526828778997062  0.7872391409057975\n  0.5526828778997062  0.9490673135359265  0.2127608590942026\n -0.0000000000000000  0.0000000000000000 -0.0000000000000000\n \n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n,Li4N1,-3.5165618896484374,-3.520288848876953,5,0.8671603486999535,0.03958244245638065,0.17189720273017883,12,0.08878,-3.4711
544418,As Li Li Li Zn Zn Li As As Zn 8 5 o o o 9 3 + o o 6 2 + o + 6 0 o o o 8 1 o o o 0 4 o o o 2 7 o o o 8 1 o o o 2 4 - o - 9 3 o - o 0 7 - o o 0 7 o o o 8 1 o + o 9 1 o o o 9 5 + o o 2 3 o o o 9 5 + o o 0 4 o o o 9 0 o - o 0 5 + o o 6 7 o o o 6 2 o o + 8 1 o + o 0 9 - o o 6 9 o o o 2 7 - o o 6 2 + o o 0 8 o o + 9 3 o o o 0 8 + o o 2 7 - - o 6 8 + + o 6 4 o o o 8 3 - - - 2 4 - - o 0 3 + o o 0 5 o o o 1 4 o o o 8 7 o o o 1 5 o o o 2 4 o o - 9 1 + + o 6 3 o - o 1 5 o - o,temp\n   1.00000000000000     \n     2.1123514823276803    7.5488104277761661   -0.0091356452994045\n     2.1123514823276803   -7.5488104277761661    0.0091356452994045\n    -0.0000000000000000   -1.0186206903243469   -6.0468913593072653\n   Li   Zn   As\n     4     3     3\nDirect\n  0.0485399072911712  0.9514600927088288  0.7421618683819262\n  0.2395828505970729  0.7604171494029270  0.4689966897808500\n  0.6676796926256916  0.3323203073743083  0.1261066160400993\n  0.4483431925833845  0.5516568074166156  0.0493754549143133\n  0.5701425070002168  0.4298574929997832  0.4317543991208458\n  0.8605154806793838  0.1394845193206162  0.6572023216785686\n  0.2351658603520738  0.7648341396479261  0.9780591265375710\n  0.0765876539374260  0.9234123460625739  0.1836271378937646\n  0.4293818509438665  0.5706181490561334  0.5883463962965776\n  0.7060894473039164  0.2939105526960837  0.7358499893554710\n \n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n,Li4Zn3As3,-3.044789123535156,-3.047846031188965,8,0.7598857178009212,0.025768450096748996,0.5024544596672058,8,0.18411,-2.88951
699946,Bi Li Bi Li Li Li Li 4 0 - - - 3 0 o o o 1 0 o - o 4 5 o o o 0 2 o o o 1 2 + o o 0 2 o o o 3 0 - o o 4 2 - - o 3 2 o o o 0 6 + o o 5 6 o o o 1 2 o o o 3 2 o + o 5 6 o o - 3 5 + + o 5 0 - - o 3 6 o o o 1 6 + + o 1 6 o o o 1 5 + o + 1 5 + + + 3 2 - o o 3 6 o + o 1 0 o o o 4 0 o o o 4 0 o o o 1 2 o o o 4 2 o + o 3 6 + + o 0 6 + o o 1 6 o o o 4 5 o + o 3 5 o + o 4 5 o o o,temp\n   1.00000000000000     \n     2.2940564648882655    4.3158410175819553   -0.0087620842985079\n     2.2940564648882655   -4.3158410175819553    0.0087620842985079\n     0.0000000000000000   -1.7755281975494726   -7.1186145369304157\n   Li   Bi\n     5     2\nDirect\n  0.2989165127756844  0.7010834872243156  0.8402957580975576\n  0.7010834872243156  0.2989165127756844  0.1597042419024424\n  0.1205769679685011  0.8794230320314989  0.4161156496268461\n  0.0000000000000000 -0.0000000000000000  0.0000000000000000\n  0.8794230320314989  0.1205769679685011  0.5838843503731539\n  0.3943466303088081  0.6056533696911919  0.2600862527199089\n  0.6056533696911919  0.3943466303088081  0.7399137472800911\n \n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n,Li5Bi2,-2.98779160635812,-2.9895875113351003,8,0.7752100601593309,0.0,0.29994815587997437,12,0.04842,-2.93378,0.0,-2.6206
436982,As K As 2 0 + o + 2 0 o o + 2 1 o o + 2 0 o o o 2 1 - o o 2 1 o - o 2 0 o o o 2 1 - - o 0 1 o o o 0 1 o - o 0 1 - - o 2 0 o - + 2 1 - o o,temp\n   1.00000000000000     \n     1.8379719465986759    5.1243591316266501    0.0015596553985838\n     1.8379719465986759   -5.1243591316266501   -0.0015596553985838\n     0.0000000000000000   -0.8110879478622351   -4.7960894245257633\n   K    As\n     1     2\nDirect\n  0.0000000000000000 -0.0000000000000000  0.5000000000000000\n  0.6959112646224921  0.3040887353775080  0.0984055052665935\n  0.3040887353775080  0.6959112646224921  0.9015944947334066\n \n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n,K1As2,-3.834459940592448,-3.83642578125,12,0.8426392948226903,0.014895411406249615,0.3561214804649353,12,0.09975,-3.75157
214448,Ba Ag Ag K Bi Ba 4 3 o o o 1 3 o o + 1 5 o o + 1 3 + o + 0 5 o o o 1 2 o o o 4 3 o + o 1 5 + o + 1 2 o - o 4 2 - o o 0 5 o + o 0 2 o o o 2 3 o o o 1 5 o o + 4 3 o + o 4 3 + + o 4 1 - o - 1 2 o - o 4 5 o + o 0 2 o o o 1 5 + + + 0 3 + o o 0 2 o o o 0 1 o - - 4 5 + + o 1 2 o - o 4 5 o o o 0 3 + o o 4 3 o o o 2 5 o o o 0 2 o o o 0 2 + o o,temp\n   1.00000000000000     \n     2.7875015607311804    8.1021907842228185   -0.0214148791269773\n     2.7875015607311804   -8.1021907842228185    0.0214148791269773\n     0.0000000000000000   -2.9794593108712322   -6.4134999203073431\n   K    Ba   Ag   Bi\n     1     2     2     1\nDirect\n  0.0388498786194796  0.9611501213805204  0.0874699602492435\n  0.7192379904992083  0.2807620095007917  0.7428770135291841\n  0.3419130330663149  0.6580869669336852  0.3371299174463835\n  0.3659627591527107  0.6340372408472893  0.8582320178218161\n  0.5298210759732398  0.4701789240267602  0.8114383930290489\n  0.6998745714628879  0.3001254285371121  0.2242426979243126\n \n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n,K1Ba2Ag2Bi1,-2.8281567891438804,-2.8677085240681968,8,0.8150320603750628,0.02997990445032217,0.13306152820587158,8,0.23691,-2.66077
1047621,Ba Ba K Bi 0 1 o o + 0 1 o + o 0 1 o + + 0 1 + o o 0 1 + o + 0 1 + + o 0 3 o o o 0 3 o o + 0 3 + o o 0 3 o + o 0 2 o + + 0 2 + o + 0 2 + + o 0 2 + + + 1 2 o o o 1 2 o o + 1 2 + o o 1 2 o + o 1 3 - o o 1 3 o - o 1 3 o o - 1 3 o o o 2 3 - - o 2 3 - o o 2 3 o - - 2 3 o - o 2 3 o o - 2 3 - o o 3 2 o + o 3 1 o o + 3 3 + o o,temp\n   1.00000000000000     \n     3.0222110029314910   -5.2346230082710354    0.0000000000000000\n     3.0222110029314910    5.2346230082710354   -0.0000000000000000\n    -0.0000000000000000   -0.0000000000000000    7.1840211652098738\n   K    Ba   Bi\n     1     2     1\nDirect\n  0.0000000000000000  0.0000000000000000  0.5416805536305591\n  0.3333333333333357  0.6666666666666643  0.8601826012758923\n  0.6666666666666643  0.3333333333333357  0.2506501298313329\n  0.3333333333333357  0.6666666666666643  0.3566667152622234\n \n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n,K1Ba2Bi1,-2.923414945602417,-2.925767183303833,8,0.8969450571889793,0.0,0.14426109194755554,156,0.18965,-2.61695
76758,As Be Be K As 0 1 + o o 4 2 - o - 0 1 o o o 3 0 - - o 4 2 o o - 4 3 o o o 4 2 o o - 4 0 - o o 3 0 o o o 4 2 - - - 4 3 o - o 4 3 - - o 4 0 - - o 4 1 o o o 3 0 o + o 3 2 o + o 4 3 o o o 4 1 o - o 3 2 o o o 4 0 - o o 3 1 o o o 0 1 o - o 3 2 o o o 0 1 o - o 4 1 - - o 0 2 o o o,temp\n   1.00000000000000     \n     2.3225701528086091   -5.6409989342724236   -0.0000000000000002\n     2.3225701528086109    5.6409989342724236    0.0000000000000005\n    -0.0000000000000000    0.0000000000000000    3.9214223975675568\n   K    Be   As\n     1     2     2\nDirect\n  0.2768420384132337  0.7231579615867663 -0.0000000000000000\n  0.8857790867127822  0.1142209132872179  0.5000000000000000\n  0.5859572536994926  0.4140427463005074 -0.0000000000000000\n  0.9799381963775308  0.0200618036224692 -0.0000000000000000\n  0.6826033434720589  0.3173966565279412  0.5000000000000000\n \n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n,K1Be2As2,-3.868661117553711,-3.8706996917724608,38,0.9468237174462589,0.0,1.277603030204773,38,0.19893,-3.60763
817389,Be Be K P P 1 2 o - o 4 2 o o o 1 4 o - o 1 2 - - o 3 0 o + o 1 0 o o o 3 2 o o o 1 4 o o o 1 0 o o - 1 0 - o - 4 0 o o o 4 2 o o o 1 3 o o - 3 4 - o o 3 4 - o o 1 4 - o o 3 4 o + o 1 3 - - - 1 2 o - o 3 0 o o o 3 0 - o o 1 3 o - - 1 4 - - o 3 2 - o o,temp\n   1.00000000000000     \n    -1.7591091717490974    1.7591091717490976    7.1458594049238489\n     1.7591091717490974   -1.7591091717490976    7.1458594049238489\n     1.7591091717490979    1.7591091717490976   -7.1458594049238489\n   K    Be   P \n     1     2     2\nDirect\n  0.0000000000000000 -0.0000000000000000 -0.0000000000000000\n  0.7500000000000000  0.2500000000000000  0.5000000000000000\n  0.2500000000000000  0.7500000000000000  0.5000000000000000\n  0.3430481651785918  0.3430481651785918  0.0000000000000000\n  0.6569518348214083  0.6569518348214083 -0.0000000000000000\n \n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n,K1Be2P2,-4.399588394165039,-4.402193450927735,8,0.8450809421789875,0.0,1.0202070474624634,139,0.0,-4.26219,0.0,-3.1187
345160,K Be P P Be 0 1 o o + 1 4 o o o 1 4 o o o 0 2 - o o 2 3 + o o 2 3 o - o 1 3 o o o 0 4 - - o 0 4 - o o 0 1 o - o 0 3 o o o 0 2 o o o 0 2 - - o 0 4 o o o 0 3 - - o 0 3 o - o 2 4 o o o 0 2 - o o 2 4 o o o 1 3 o + o 0 3 - - o 0 1 - - - 1 4 - o o,temp\n   1.00000000000000     \n    -1.7584544411663618    1.7584544411663621    7.1617362443475301\n     1.7584544411663618   -1.7584544411663621    7.1617362443475301\n     1.7584544411663623    1.7584544411663621   -7.1617362443475301\n   K    Be   P \n     1     2     2\nDirect\n  0.5000000000000000  0.5000000000000000  0.0000000000000000\n  0.7500000000000000  0.2500000000000000  0.5000000000000000\n  0.2500000000000000  0.7500000000000000  0.5000000000000000\n  0.8429364057608097  0.8429364057608097  0.0000000000000000\n  0.1570635942391903  0.1570635942391903  0.0000000000000000\n \n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n,K1Be2P2,-4.401617813110351,-4.401483154296875,44,0.7549846713297201,0.0,0.6524350047111511,139,0.0,-4.26201,0.0,-3.1256
462660,K Ca As 1 2 - o o 0 2 o - - 0 1 o - o 1 2 o o - 0 1 o o - 0 1 o - o 0 1 - - o 0 2 - o - 0 2 - o o 0 2 o - o 0 2 o o - 0 1 - o o 1 2 o o o 1 2 o o o,temp\n   1.00000000000000     \n     3.9682056159089711    0.0000000000000000    0.0000000000000002\n     0.0000000000000007    4.4293223973846034    0.0000000000000003\n     0.0000000000000000    0.0000000000000000    6.1485713959535735\n   K    Ca   As\n     1     1     1\nDirect\n  0.0244524941424773  0.5000000000000000  0.0000000000000000\n  0.1394240686199646  0.0000000000000000  0.5000000000000000\n  0.6297834372375608  0.5000000000000000  0.5000000000000000\n \n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n  0.00000000E+00  0.00000000E+00  0.00000000E+00\n,K1Ca1As1,-3.411232630411784,-3.4172662099202475,25,0.8024499248454714,0.0,0.11634520441293716,25,0.16599,-3.21087
