SLICES,formation_energy_per_atom,band_gap,crystal_system
+ y c ODO o Sr Sr Sb Sb Sb Sb 0 5 o-o 0 5 ooo 0 5 +-o 0 5 +oo 0 3 oo+ 0 3 +o+ 0 4 ooo 0 4 o+o 0 2 o-o 0 2 ooo 1 4 -oo 1 4 -+o 1 4 ooo 1 4 o+o 1 2 -o- 1 2 oo- 1 3 ooo 1 3 o+o 1 5 o-o 1 5 ooo 2 3 oo+ 2 3 o++ 2 3 +o+ 2 3 +++ 4 5 o-o 4 5 +-o ,-0.7965321788888892,0.0,monoclinic
+ v b OOO c OOO d OOO e OOO o Ga Ir 0 1 --- 0 1 --o 0 1 -o- 0 1 -oo 0 1 o-- 0 1 o-o 0 1 oo- 0 1 ooo 0 0 +oo 0 0 o+o 0 0 oo+ 1 1 +oo 1 1 o+o 1 1 oo+ ,-0.3989705687500002,0.0,cubic
+ x a DDO c OOO o Mn Mn Mn Mn Mn Mn As As As As 0 6 ooo 0 1 o-o 0 1 -oo 0 9 -oo 0 9 o-o 0 5 +oo 0 5 o+o 0 7 o-o 0 7 -oo 0 2 oo- 0 3 ooo 1 6 +oo 1 6 o+o 1 2 ooo 1 5 +o+ 1 5 o++ 1 3 oo+ 1 8 o+o 1 8 +oo 1 7 ooo 2 8 ooo 2 9 o-+ 2 9 -o+ 2 6 +oo 2 6 o+o 2 5 +o+ 2 5 o++ 2 4 ooo 3 5 +oo 3 5 o+o 3 4 ooo 3 7 o-o 3 7 -oo 3 8 +o- 3 8 o+- 3 9 ooo 4 8 ooo 4 7 -oo 4 7 o-o 4 6 o+o 4 6 +oo 4 9 ooo 5 9 --o 5 7 --o 5 6 oo- 5 8 oo- ,-0.1574625457586208,0.0,monoclinic
+ x b DOD c ODO o Sr Sr Sr Sr Zn Zn Zn Zn O O O O O O O O 0 13 -oo 0 13 ooo 0 11 -o+ 0 11 oo+ 0 15 -+o 0 15 o+o 0 6 oo+ 0 10 o+o 1 12 o-o 1 12 +-o 1 10 oo- 1 10 +o- 1 14 ooo 1 14 +oo 1 11 o-o 1 4 oo- 2 9 -oo 2 9 ooo 2 15 -oo 2 15 ooo 2 13 -oo 2 13 ooo 2 7 ooo 2 8 ooo 3 14 ooo 3 14 +oo 3 12 ooo 3 12 +oo 3 8 ooo 3 8 +oo 3 9 ooo 3 5 ooo 4 10 ooo 4 10 +oo 4 15 ooo 4 13 ooo 5 8 ooo 5 8 +oo 5 13 ooo 5 15 o+o 6 11 -oo 6 11 ooo 6 14 ooo 6 12 ooo 7 9 -oo 7 9 ooo 7 12 o-o 7 14 ooo ,-2.4355156754166667,2.6565000000000003,orthorhombic
+ x a ECC n OOO o Mg Mg Co Co O O O O O O 0 5 ooo 0 9 o+o 0 6 ooo 0 8 oo+ 0 4 ooo 0 7 +oo 1 6 -oo 1 9 ooo 1 5 oo- 1 7 ooo 1 4 o-o 1 8 ooo 2 8 oo+ 2 9 o+o 2 4 oo+ 2 7 +oo 2 5 +oo 2 6 o+o 3 7 o-o 3 8 -oo 3 6 -oo 3 9 oo- 3 4 o-o 3 5 oo- ,-1.8374216190000008,0.0,trigonal
+ t a ODD a DOD b OOO c OOO d OOO e OOO o Li Mg Au Au 0 3 ooo 0 3 oo+ 0 3 +oo 0 3 o+o 0 1 oo+ 0 1 o+o 0 1 o++ 0 1 +oo 0 1 +o+ 0 1 ++o 0 2 -oo 0 2 o-o 0 2 oo- 0 2 ooo 1 2 --- 1 2 --o 1 2 o-- 1 2 -o- 1 3 -oo 1 3 o-o 1 3 oo- 1 3 ooo 2 3 oo+ 2 3 o+o 2 3 o++ 2 3 +oo 2 3 +o+ 2 3 ++o ,-0.5867520758333331,0.0,cubic
+ t a ODD a DOD b OOO c OOO d OOO e OOO o Rb Rb Hg Bi I I I I I I 0 8 ooo 0 8 o+o 0 4 oo+ 0 4 o+o 0 6 ooo 0 6 +oo 0 5 o+o 0 5 +oo 0 7 oo+ 0 7 +oo 0 9 ooo 0 9 oo+ 1 5 oo- 1 5 ooo 1 7 o-o 1 7 ooo 1 4 -oo 1 4 ooo 1 6 o-o 1 6 oo- 1 8 -oo 1 8 oo- 1 9 -oo 1 9 o-o 2 5 ooo 2 7 ooo 2 6 ooo 2 4 ooo 2 8 ooo 2 9 ooo 3 9 --o 3 8 -o- 3 4 -oo 3 6 o-- 3 7 o-o 3 5 oo- ,-1.0262012020000004,0.0,cubic
+ y c ODO o Ba Ba W W O O O O O O O O 0 8 -oo 0 8 -+o 0 6 ooo 0 10 -oo 0 10 ooo 0 5 ooo 0 5 o+o 0 4 ooo 1 4 o-o 1 4 ooo 1 7 ooo 1 7 +oo 1 5 ooo 1 6 +-o 1 6 +oo 1 8 ooo 2 5 ooo 2 9 ooo 2 10 o-o 2 8 ooo 2 11 +oo 3 11 oo+ 3 6 ooo 3 9 oo+ 3 4 ooo 3 7 o+o ,-2.6772693183333325,2.6998,monoclinic
+ v b OOO c OOO d OOO e OOO o Ga Fe Fe Fe 0 2 --o 0 2 -oo 0 2 o-o 0 2 ooo 0 3 -o- 0 3 -oo 0 3 oo- 0 3 ooo 0 1 o-- 0 1 o-o 0 1 oo- 0 1 ooo 1 3 -oo 1 3 -+o 1 3 ooo 1 3 o+o 1 2 -oo 1 2 -o+ 1 2 ooo 1 2 oo+ 2 3 oo- 2 3 ooo 2 3 o+- 2 3 o+o ,-0.1353271918750005,0.0,cubic
+ x b OOO c OOO o La Ce Ni Ni Ni Ni Ni Ni Ni Ni Ni Ni 0 8 --o 0 8 o-o 0 11 --o 0 11 o-o 0 6 --o 0 6 -oo 0 6 o-o 0 6 ooo 0 10 -oo 0 10 ooo 0 9 -oo 0 9 ooo 0 2 o-o 0 2 ooo 0 5 o-o 0 5 ooo 0 4 ooo 0 3 ooo 1 9 -o- 1 9 oo- 1 10 -oo 1 10 ooo 1 7 -oo 1 7 -+o 1 7 ooo 1 7 o+o 1 11 -o- 1 11 oo- 1 8 -oo 1 8 ooo 1 3 oo- 1 3 o+- 1 4 ooo 1 4 o+o 1 5 oo- 1 2 ooo 2 10 -oo 2 10 ooo 2 8 -oo 2 8 ooo 2 6 -oo 2 6 ooo 2 4 ooo 2 4 o+o 2 5 ooo 3 11 --o 3 11 o-o 3 9 -oo 3 9 ooo 3 7 -o+ 3 7 oo+ 3 5 o-o 3 5 ooo 3 4 oo+ 4 8 --o 4 8 o-o 4 7 -oo 4 7 ooo 4 10 -oo 4 10 ooo 5 9 -oo 5 9 ooo 5 6 -oo 5 6 ooo 5 11 -oo 5 11 ooo 6 10 ooo 6 9 ooo 6 8 ooo 6 11 ooo 7 11 o-- 7 8 o-o 7 9 oo- 7 10 ooo 8 10 ooo 8 10 o+o 9 11 o-o 9 11 ooo ,-0.3143584091666665,0.0,orthorhombic
