Epoch,Train Loss,Val Loss,Learning Rate
1,2.4313,1.8731,0.0001700
2,1.0633,0.7234,0.0003300
3,0.6356,0.5928,0.0003300
4,0.5522,0.5481,0.0003300
5,0.5106,0.5278,0.0003300
6,0.4844,0.4973,0.0003300
7,0.4653,0.4841,0.0003300
8,0.4502,0.4638,0.0003300
9,0.4359,0.4592,0.0003300
10,0.4211,0.4464,0.0003300
11,0.4104,0.4402,0.0003300
12,0.3995,0.4275,0.0003300
13,0.3876,0.4203,0.0003300
14,0.3803,0.4180,0.0003300
15,0.3691,0.4119,0.0003300
16,0.3610,0.4084,0.0003300
17,0.3537,0.4041,0.0003300
18,0.3444,0.4009,0.0003300
19,0.3387,0.3921,0.0003300
20,0.3288,0.3917,0.0003300
21,0.3201,0.3920,0.0003300
22,0.3120,0.3903,0.0003300
23,0.3041,0.3873,0.0003300
24,0.2951,0.3900,0.0003300
25,0.2884,0.3879,0.0003300
26,0.2788,0.3899,0.0003300
27,0.2736,0.3921,0.0003300
28,0.2628,0.3963,0.0003300
