eform_target,SLICES,eform_m3gnet,poscar
-1,Ni Ni Ag Ag 0 2 oo- 0 2 o-o 0 2 oo- 0 2 oo- 0 3 -oo 0 3 oo- 0 3 ooo 1 3 o-- 1 3 o-o 1 3 ooo 1 2 oo- 1 2 o-- 1 2 --- 1 2 ---,0.2662220045153809,Ni2 Ag2\n1.0\n   2.7815980778056320    0.0000000000000000    0.0000000000000000\n   0.0002615420294494    4.4230834411817774    0.0000000000000000\n   0.0103528304325956    0.0859580368359246    4.7239933278995636\nNi Ag\n2 2\ndirect\n   0.0904686449585508    0.0431028487488626    0.0477296733645167 Ni\n   0.0921873849930608    0.5333841576067760    0.7235715726647765 Ni\n   0.5877195511404705    0.0321711673279512    0.5659268156367562 Ag\n   0.5843997376151526    0.5449008101126404    0.2062710416374357 Ag\n
-1,Nb Nb Ni Ni 0 2 +oo 0 2 o+o 0 2 oo+ 0 2 ooo 0 3 o++ 0 3 oo+ 0 3 ooo 0 3 oo+ 1 3 o++ 1 3 oo+ 1 3 o++ 1 3 +++ 1 2 ooo 1 2 +oo 1 2 oo+ 1 2 o+o,-0.14172341248744447,Nb2 Ni2\n1.0\n   3.1756441194824432    0.0000000000000000    0.0000000000000000\n  -0.4184567365882940    4.3598866031570020    0.0000000000000000\n  -1.2637161739509912   -1.5617668570226046    4.2295493300301947\nNb Ni\n2 2\ndirect\n   0.0719032508727031    0.1356595645011865    0.9505349693358404 Nb\n   0.7018651147006165    0.3555287824069660    0.5052228164291377 Nb\n   0.2288751126608029    0.8052500246914613    0.4556711611083537 Ni\n   0.5343685770565436    0.6836930449418728    0.0067803935208671 Ni\n
-1,Zn Zn Cu Cu Cu Cu Cu As 0 3 -oo 0 3 oo- 0 4 o-o 0 4 --o 0 7 o-o 0 7 oo+ 1 7 o+o 1 5 oo- 1 5 ooo 1 4 oo+ 1 4 ooo 2 6 ooo 2 6 ++o 2 7 oo+ 2 7 ooo 2 5 oo+ 2 5 +++ 3 4 ooo 3 4 +oo 3 6 o-+ 3 6 ooo 3 6 o-o 3 6 ooo 4 7 --o 4 7 +-o 4 6 ooo 4 6 oo- 5 7 o+o 5 6 ooo 5 6 +oo 5 7 ooo,0.018670054497680555,Zn2 Cu5 As1\n1.0\n   4.6113298072492661    0.0000000000000000    0.0000000000000000\n   0.2193084052794589    4.8696479264983017    0.0000000000000000\n   0.7368057196781211    0.4729561128518789    4.9019700103451234\nZn Cu As\n2 5 1\ndirect\n   0.9476974448793124    0.0835237013284959    0.0141379652333213 Zn\n   0.8317623208582529    0.5131733998593216    0.3390767548177039 Zn\n   0.7876848198737912    0.0167242981113082    0.5470687674950685 Cu\n   0.9677056460938488    0.5808814898005046    0.8252357363270232 Cu\n   0.4753164065615928    0.3452344040983991    0.8323819681245170 Cu\n   0.3411715991609291    0.2945203951216759    0.3421075310191934 Cu\n   0.4714779033749693    0.8146089785354732    0.0016950843171952 Cu\n   0.3391390481129162    0.8048978372998734    0.4960962404138067 As\n
-1,Nb Pt Rh Rh 0 3 oo+ 0 3 --- 0 3 ooo 0 3 oo- 0 2 -oo 0 2 ooo 0 2 oo- 0 2 o-o 0 1 o-- 0 1 -oo 0 1 o-o 0 1 --- 0 1 -o+ 0 1 --- 1 2 o-o 1 2 -oo 1 2 --o 1 1 --o 1 1 o-o 1 1 o-- 1 2 o-- 1 2 -oo,-0.5009299966050507,Nb1 Pt1 Rh2\n1.0\n   3.0090449370859380    0.0000000000000000    0.0000000000000000\n  -0.0186197433477897    4.8502279164549309    0.0000000000000000\n  -1.4831741880157081   -2.4208943205183560    4.2578225794610107\nNb Pt Rh\n1 1 2\ndirect\n   0.0448826545822854    0.0310922477988687    0.0800885615910973 Nb\n   0.5298100641796081    0.5340980070860692    0.0777168806690518 Pt\n   0.7851678774433197    0.4255991096177708    0.5661713142049092 Rh\n   0.3043855429789754    0.9338733538575346    0.5912020759619498 Rh\n
-1,Ce Ce H H H 0 4 +oo 0 4 ooo 0 3 oo+ 0 3 +oo 0 3 o+o 0 4 ooo 0 2 ++o 0 2 oo+ 0 2 o+o 1 2 ooo 1 2 oo- 1 2 +-o 1 3 o-o 1 3 -oo 1 3 -o- 1 3 -oo,-0.46741864037121844,Ce2 H3\n1.0\n  -3.8159292361078214    0.0000000000000000    0.0000000000000000\n   1.4010428117112141    3.6947837414119875    0.0000000000000000\n  -0.1488053266162207   -1.1793165260013347   -4.7411390125473369\nCe H\n2 3\ndirect\n   0.0543173728910527    0.9654541471718463    0.0260401849803040 Ce\n   0.4414539471884252    0.6184554083822684    0.5726312517091543 Ce\n   0.4225527164109578    0.5882666295929637    0.0569450288786928 H\n   0.5806204898352754    0.0991063736506029    0.3313193336908706 H\n   0.8478406647656983    0.3102212984020406    0.7506215921858977 H\n
-1,Yb Yb Yb Ag Ag Ag O O O 0 6 oo+ 0 3 o-o 0 7 +oo 0 7 ooo 0 8 ++o 0 8 ooo 1 7 +o+ 1 7 +oo 1 6 o+o 1 6 ooo 2 8 oo+ 2 7 ooo 2 6 -oo 2 6 -oo 2 6 ooo 3 7 ooo 3 7 oo- 3 6 +oo 4 8 ooo 4 5 +oo 4 5 o+o,-1.7844822193847654,Yb3 Ag3 O3\n1.0\n  -3.7242881511198913    0.0000000000000000    0.0000000000000000\n   0.2121753465303506   -6.5799771918734633    0.0000000000000000\n   1.8024308462177601    3.2796450113369762    5.9410075525330495\nYb Ag O\n3 3 3\ndirect\n   0.8115404759305567    0.9438931993710504    0.9485834817468984 Yb\n   0.1133326468236413    0.3312533783394753    0.7083739795555359 Yb\n   0.4671524552406445    0.9104870833647630    0.3313840226557176 Yb\n   0.4527737778502889    0.3707180156873404    0.3329925008575016 Ag\n   0.8277159572345669    0.4779161332468832    0.0948233598496463 Ag\n   0.0936186666806914    0.7196542124970235    0.5619788936820185 Ag\n   0.6075268484297888    0.1442000622317011    0.7379562791384091 O\n   0.9760441622201658    0.1005455616440811    0.3284056630425278 O\n   0.2873075677798651    0.7313544397014285    0.9253187788052373 O\n
-1,Pt Cr Cr Cr Cr Cr Cr Cr Cr S S S S S S S S S S S 0 18 ooo 0 19 o+o 0 11 +oo 0 19 ooo 0 19 ooo 0 18 +o+ 1 8 ooo 1 15 +o- 1 14 ooo 1 19 -oo 1 14 ooo 2 16 o-o 2 15 ooo 2 17 oo+ 2 18 -o+ 3 13 -oo 3 18 ooo 3 14 o+o 3 13 ooo 4 15 ooo 4 14 o+o 4 19 ooo 4 17 oo+ 5 17 ooo 5 13 ooo 5 13 ooo 5 14 ooo 6 13 ooo 6 17 -oo 6 15 o-o 6 10 o+- 7 16 oo- 7 14 o+o 7 10 ooo 7 16 +oo 8 16 ooo 8 16 ooo 8 12 oo+ 9 16 ooo 9 17 +oo 9 16 oo- 9 13 ooo,-0.37911479401757797,Cr8 Pt1 S11\n1.0\n   7.0233453249902666    0.0000000000000000    0.0000000000000000\n  -2.7203344261433360   -7.2794866052710043    0.0000000000000000\n  -2.8851264537751056    1.0765363794110794   -7.5970583692853086\nCr Pt S\n8 1 11\ndirect\n   0.5424683780801098    0.6671191251336460    0.1153260291208581 Cr\n   0.0380491643318031    0.6302714863081185    0.9635564599644976 Cr\n   0.1829265840024261    0.8656304527256466    0.3724697399028201 Cr\n   0.8846330252688757    0.5984511160978889    0.1696394433248860 Cr\n   0.9956923456406325    0.2553384211003239    0.2539020043067781 Cr\n   0.4720174332045861    0.3855556620038986    0.7763133893643364 Cr\n   0.1228965633758365    0.6958674444306918    0.6869161010349362 Cr\n   0.0185488596204455    0.0087760259036841    0.5914231118454152 Cr\n   0.9942062824801884    0.9535462833048265    0.0795722763250398 Pt\n   0.1724413451992448    0.9341359961062091    0.8791738773058358 S\n   0.2837678018090901    0.1918181397568469    0.4862509979903213 S\n   0.6927481501323074    0.9768333079812379    0.1278387874302089 S\n   0.7767755819819455    0.3337107689653153    0.9796652501436535 S\n   0.2304986437244501    0.4846293726216432    0.8655045221151393 S\n   0.8264369051842425    0.2241830916672927    0.4559852435417341 S\n   0.7979958728831720    0.1026183360938480    0.6663755584637618 S\n   0.4089793968284953    0.8264751977209962    0.6253185330396283 S\n   0.7145762732235728    0.6827665900636243    0.9000496746779710 S\n   0.8497430462463149    0.7056723561595910    0.4208968207766763 S\n   0.2431329674408838    0.6016311770446330    0.2523581597506968 S\n
-1,Fe Fe Fe Fe Fe Fe Fe Fe Fe Fe Fe Fe C C C C C C C 0 16 o-+ 0 11 ooo 0 10 ooo 0 11 +oo 0 13 oo- 1 13 oo+ 1 14 o+o 1 14 ooo 1 17 o+o 1 16 o-+ 2 12 +o- 2 13 ooo 2 14 o+o 2 16 ooo 3 15 oo+ 3 18 ooo 3 16 +o+ 4 15 ooo 4 13 ooo 4 13 o+o 4 18 -oo 5 13 ooo 5 12 ooo 5 17 ooo 5 12 o+o 6 11 ooo 6 17 ooo 6 11 -o+ 6 15 o-o 7 18 +oo 7 17 ooo 7 14 ooo 7 10 ooo 7 12 -oo 8 17 ooo 8 15 ooo 8 18 --- 9 10 ooo 9 10 -oo 9 12 ooo 9 11 -oo 9 10 ooo 10 11 -oo,0.31581034905016436,Fe12 C7\n1.0\n   4.7681693329023647    0.0000000000000000    0.0000000000000000\n  -0.1375253266726265    4.8975007479592136    0.0000000000000000\n  -0.5268537947450137   -2.4340964360974837    8.4750589155562821\nFe C\n12 7\ndirect\n   0.1155125815220339    0.9837143127727170    0.0810899161176165 Fe\n   0.8205586708765158    0.9551709428718026    0.7563445933190553 Fe\n   0.9960112217650203    0.4081663741669984    0.9892640463826905 Fe\n   0.3228105899539874    0.0331599959494416    0.8039939546592085 Fe\n   0.4748195163729010    0.7132629963086137    0.5368282280203679 Fe\n   0.0172716683642254    0.3866001444408248    0.6839343372549475 Fe\n   0.0277556052731590    0.0832631380406265    0.3650813363345272 Fe\n   0.5489519168866009    0.5612149027618013    0.8133969580431005 Fe\n   0.5214445349812250    0.0915935091812357    0.2750779225496500 Fe\n   0.4959819573760843    0.2082034040794237    0.5686873150268141 Fe\n   0.1625200375091458    0.5159365667408655    0.2641440817417600 Fe\n   0.5212295796112218    0.3499950378192613    0.0837530508104107 Fe\n   0.9166783401318488    0.7101022210706457    0.8871816995524253 C\n   0.3131225119239499    0.3675978072403449    0.4244691657709503 C\n   0.8388279776234663    0.9785600269708293    0.5398903832848789 C\n   0.8449245419996763    0.2545215102639906    0.1969192074797497 C\n   0.1379605999676544    0.9759527981759265    0.5805329672150037 C\n   0.6493237120677315    0.2573062458926950    0.8812572362415054 C\n   0.2092941850861775    0.6933147444856517    0.8790588245863917 C\n
-1,K K Ho Ho As As 0 5 -oo 0 5 o-o 0 5 ooo 0 4 o-o 0 4 -oo 0 4 ooo 0 3 -oo 0 3 -o+ 0 3 -o+ 1 4 ooo 1 5 --o 1 5 -oo 1 4 o-o 1 4 o-o 1 3 -oo 1 3 oo- 1 3 ooo 1 2 +oo 1 2 ooo 2 4 o-- 2 4 o-o 2 5 o-- 2 5 o-o 2 3 -oo 2 3 -oo 3 4 o+o 3 4 ooo 3 5 ooo,-0.7282154116503904,K2 Ho2 As2\n1.0\n  -5.2444618076376139    0.0000000000000000    0.0000000000000000\n  -0.0566232939079790   -5.6978007939798339    0.0000000000000000\n   1.4088157048771985    1.6071927360575189   10.7489919939543448\nK Ho As\n2 2 2\ndirect\n   0.9875641517384905    0.0978686159972649    0.9739347950751792 K\n   0.3197622898939019    0.3794084401258689    0.3757842984897193 K\n   0.9138722383000704    0.1627242632844228    0.6382016686065016 Ho\n   0.4457364762518201    0.6782141115303888    0.7440788189939367 Ho\n   0.4401800358957954    0.1755710998429584    0.7388296065468614 As\n   0.9210131551352706    0.6646104159860626    0.6448698837784242 As\n
-1,Dy Dy Dy Dy 0 3 -oo 0 3 oo- 0 3 o-o 0 3 ooo 0 2 +oo 0 2 o+o 0 2 +oo 0 2 o+o 1 2 -oo 1 2 oo- 1 2 o-o 1 2 -oo 1 3 ooo 1 3 oo- 1 3 ooo 1 3 oo- 2 3 ooo 2 3 oo- 2 3 ooo 2 3 -oo,0.027127145360920757,Dy4\n1.0\n   3.4166805662596031    0.0000000000000000    0.0000000000000000\n  -0.8200238694997084    5.7079884496814524    0.0000000000000000\n  -0.0346164773243629   -0.3534368629486165    6.5409447376601548\nDy\n4\ndirect\n   0.1307856478564197    0.8508396365697555    0.8233087605089227 Dy\n   0.4302559370299257    0.8416434946459180    0.3170974264663889 Dy\n   0.8052870864566758    0.3518599942583018    0.0843272261479387 Dy\n   0.4963685732050770    0.3600676107673771    0.5961512475932149 Dy\n
