eform_target,SLICES,eform_m3gnet,poscar
-1,Sr Cd Ge Rh Pd 0 4 oo- 0 4 ooo 0 2 ooo 0 2 oo- 0 2 o-- 0 2 o-o 1 3 --o 1 3 o-- 1 3 -oo 1 3 o-o 1 3 oo- 1 3 ooo 2 3 o+o 2 3 oo- 2 3 o-o 2 3 -oo,-0.4474210457451173,Sr1 Cd1 Ge1 Pd1 Rh1\n1.0\n   4.2682288684692731    0.0000000000000000    0.0000000000000000\n  -0.2080560027742650    5.4031038862710066    0.0000000000000000\n  -0.0157104115638325   -1.4470459446145625    5.2152304377066727\nSr Cd Ge Pd Rh\n1 1 1 1 1\ndirect\n   0.7743659523821814    0.2196759670996321    0.9308224736325890 Sr\n   0.2844035628280756    0.8313514551374693    0.3436985509041846 Cd\n   0.2548209650643181    0.3571675734018587    0.5072952006463624 Ge\n   0.7682229273585968    0.5922514288475832    0.5253388188906856 Pd\n   0.2784723525335017    0.7464745369122009    0.8435325887866061 Rh\n
-1,Li Na Sc Al Ti Ga 0 2 ooo 0 2 +oo 0 3 ooo 0 3 ooo 0 4 oo- 0 5 ooo 0 4 +oo 0 4 o-+ 1 3 ooo 1 3 -oo 1 4 -oo 1 4 oo- 1 3 --- 1 3 -oo 1 2 oo+ 1 2 +oo 1 2 o-+ 1 2 +oo,-0.06993871398545992,Na1 Li1 Sc1 Ti1 Al1 Ga1\n1.0\n   2.9925238442561404    0.0000000000000000    0.0000000000000000\n   1.4464642383558937    5.4671818688861995    0.0000000000000000\n   1.3997082255358282    2.4474994791102245    7.1624506581778675\nNa Li Sc Ti Al Ga\n1 1 1 1 1 1\ndirect\n   0.6292971147113767    0.1808665019865130    0.7178479490273644 Na\n   0.4132199440520896    0.1586648208531543    0.0671849442446837 Li\n   0.1221422182534493    0.6057581853692077    0.2649432770697963 Sc\n   0.3931905303328048    0.7436574581013669    0.5839820856771154 Ti\n   0.7840183850218164    0.6206427892102580    0.9155121040434655 Al\n   0.8155763273262365    0.1215212221523350    0.3495210445457707 Ga\n
-1,V Cu Ir Ni 0 2 oo- 0 2 oo- 0 1 ooo 0 2 o-o 0 3 -o- 0 2 -o- 0 2 o-o 0 2 -o- 0 3 -o- 0 3 ooo 1 3 o-o 1 3 ooo 1 3 oo- 1 3 o-- 1 3 o++,0.08173958409179649,V1 Cu1 Ni1 Ir1\n1.0\n   2.6888696337186295    0.0000000000000000    0.0000000000000000\n   0.0063503193866311    3.9448597196206059    0.0000000000000000\n   1.0853728564332183    0.0246744928256240    8.2109281572448918\nV Cu Ni Ir\n1 1 1 1\ndirect\n   0.5306575446969783    0.3230002122055285    0.7923210650634798 V\n   0.1580529031795799    0.3241440106093534    0.5258234834980438 Cu\n   0.6320707414505489    0.8228231383136950    0.6120299012201512 Ni\n   0.0040010308701699    0.8205756335334017    0.8879499607287399 Ir\n
-1,Li Er Cr Ti Cr N Ir N 0 5 ooo 0 4 ooo 0 4 ooo 0 3 ooo 0 5 o-o 0 5 o-- 0 7 +-o 0 6 -+o 0 4 ooo 0 4 o+o 1 4 ooo 1 6 -oo 1 5 o+o 1 5 ooo 1 6 o-- 1 5 o-o 1 2 --- 1 2 +oo 1 2 -o+ 1 2 -oo 1 5 ++o 2 5 oo- 2 5 o-o 2 6 oo+ 3 5 o+- 3 5 ooo,-0.7990987093531385,Li1 Er1 Ti1 Cr2 Ir1 N2\n1.0\n  -3.0020109317660362    0.0000000000000000    0.0000000000000000\n   1.4976207088903513    5.6603650823342360    0.0000000000000000\n  -0.0052849810417363   -2.1224338864803634   -6.1676154270311265\nLi Er Ti Cr Ir N\n1 1 1 2 1 2\ndirect\n   0.9342250809564402    0.1108412227630331    0.9484412756057921 Li\n   0.6009772854254856    0.4393665958480703    0.3208846731828785 Er\n   0.6257326169406906    0.4866980947370021    0.8395510765038859 Ti\n   0.9014158697190319    0.0361163333033113    0.5164151862245685 Cr\n   0.3150396249097865    0.8691242648080768    0.1748520483853402 Cr\n   0.2691061002721604    0.7856692741331637    0.7041497656054986 Ir\n   0.1356011597101665    0.5065913374550162    0.0582537757096641 N\n   0.9281668971443033    0.0960697743322242    0.2498403218138658 N\n
-1,Gd Hg Te S S S S S S S Cu 0 9 +oo 0 7 ooo 0 8 --o 0 5 +oo 0 6 ooo 0 6 +oo 0 3 o+o 0 6 oo- 1 6 ooo 1 6 -oo 1 6 ooo 1 6 ooo 1 6 o+o 1 7 ooo 1 8 -o+ 1 10 ooo 2 6 oo- 2 6 ooo 2 7 ooo 3 10 ooo 3 8 +oo 3 9 +oo 3 9 oo+ 4 9 ooo 4 8 -oo 4 8 oo+,-0.4401173665882461,Gd1 Cu1 Hg1 Te1 S7\n1.0\n   6.5635881096425210    0.0000000000000000    0.0000000000000000\n  -0.7149994236536122    6.8149852926297534    0.0000000000000000\n  -1.0837761942457882   -0.8253787944669129    8.0987798681258294\nGd Cu Hg Te S\n1 1 1 1 7\ndirect\n   0.0543236592812996    0.8370101084819306    0.9319952119363424 Gd\n   0.8004211500750785    0.1455687338407254    0.5833834997660657 Cu\n   0.5841226059528790    0.2774184421988125    0.8299581300645366 Hg\n   0.5647359403111067    0.9198873104318543    0.9516440815570384 Te\n   0.7124952004134192    0.6245760902599783    0.0162791801368341 S\n   0.4139089850019864    0.3789273467583999    0.5474815059753131 S\n   0.6416721981220437    0.3287817611859413    0.4152191820852345 S\n   0.8359372639393461    0.8172703031733234    0.6176221709109229 S\n   0.0140225638211540    0.0841234770194015    0.2037140400633845 S\n   0.1767341013370783    0.2201164478718105    0.0460915224010507 S\n   0.1044873057523865    0.0064107095490457    0.6374982431955458 S\n
-1,Se Cd Fe Si 0 3 o-o 0 3 oo- 0 3 ooo 0 3 oo- 0 2 o-o 0 2 -oo 0 2 o-o 1 3 ooo 1 3 oo+ 1 3 oo+ 1 3 +oo 1 3 ooo 1 2 oo- 1 2 ooo 1 2 o+o,-0.20857464485107435,Cd1 Fe1 Si1 Se1\n1.0\n   3.5209206480668609    0.0000000000000000    0.0000000000000000\n   1.7228289794385150    3.4643723742988000    0.0000000000000000\n   0.7723718690523897    1.2854890623992179    6.2868948324571248\nCd Fe Si Se\n1 1 1 1\ndirect\n   0.2215236125394009    0.4331069013070827    0.2505137896821327 Cd\n   0.4765395388476671    0.1698515654108029    0.6481499749560146 Fe\n   0.1585465396584637    0.8329848904698292    0.5562390216397154 Si\n   0.9723662581201044    0.0630491348846105    0.9060829842102440 Se\n
-1,Al Sn Pd Sn Pt Ca Pt Co 0 4 ooo 0 4 --o 0 5 ooo 0 5 o+o 0 6 ++o 0 7 o+o 0 5 --o 0 5 oo+ 0 5 oo- 0 5 ooo 0 4 +oo 0 4 ooo 1 4 o+o 1 5 +oo 1 4 o-- 1 3 ooo 1 4 ooo 1 3 +o- 1 3 o+- 1 4 +oo 1 5 o-+ 2 4 -oo 2 5 ooo 2 4 -o- 2 4 o+o 2 4 ooo 3 5 ooo 3 5 +oo 3 5 ooo 3 5 ooo 5 6 ooo 5 7 ooo,-0.5253997899975584,Ca1 Al1 Co1 Sn2 Pd1 Pt2\n1.0\n   5.4410477706280567    0.0000000000000000    0.0000000000000000\n  -2.0345979767118494    5.7386759632787410    0.0000000000000000\n  -2.1193608332007510   -2.3453739747406837    5.3556468066690810\nCa Al Co Sn Pd Pt\n1 1 1 2 1 2\ndirect\n   0.2974953726896112    0.3401777054221105    0.0774498980751361 Ca\n   0.8293027186925440    0.6778808875040331    0.9920548584986323 Al\n   0.8389116884222978    0.0506288349377376    0.2524514292327946 Co\n   0.3119895395178693    0.7874748612811668    0.8645629721863379 Sn\n   0.7199553221672972    0.8457013284557542    0.5600070785466171 Sn\n   0.6678523814026842    0.2020406015966006    0.8560793382361456 Pd\n   0.3662798540609516    0.4187234585547475    0.5993417239998340 Pt\n   0.3410040859117238    0.9796106244522723    0.3120861151067321 Pt\n
-1,Cs Ca Ca Tb Ca Ni Hg S S S S S 0 11 oo+ 0 6 oo- 0 6 ooo 0 8 +oo 0 11 o-o 0 8 ooo 0 2 +oo 0 2 ooo 1 4 +oo 1 4 --- 1 9 -oo 1 7 ooo 1 7 -oo 1 10 ooo 2 7 oo- 2 6 ooo 2 7 ooo 2 6 -oo 2 7 ooo 3 7 -oo 3 8 o+o 4 6 ooo 4 6 +oo 4 8 --- 4 7 ooo 5 7 ++o 5 9 o++,-1.2845795893907332,Cs1 Ca3 Tb1 Ni1 Hg1 S5\n1.0\n   7.4545087224158912    0.0000000000000000    0.0000000000000000\n   0.1732287927159528    8.3562899875233292    0.0000000000000000\n   3.1981732911542662    0.4341649211736865    9.7158953263656951\nCs Ca Tb Ni Hg S\n1 3 1 1 1 5\ndirect\n   0.4260650963977001    0.1372198612041057    0.5513956950339508 Cs\n   0.4088430094664093    0.3095011638236551    0.1361347820889546 Ca\n   0.9951174589350741    0.3529688668687960    0.9507702043373187 Ca\n   0.3608697401408711    0.7379076000687975    0.1724002266792307 Ca\n   0.7419581464732802    0.5015057333669539    0.2815523331091890 Tb\n   0.5376186285756723    0.5299630098969470    0.8903533817747241 Ni\n   0.6842629148706936    0.5086638029662247    0.6179775793004822 Hg\n   0.1049539503201046    0.5321275325674745    0.1383072919601190 S\n   0.6815289979391320    0.5703529399898007    0.0303311790623285 S\n   0.7375436783448496    0.2110745229507291    0.1964844822923205 S\n   0.3686338792117377    0.5062451797949257    0.3703537049590858 S\n   0.3678604901905090    0.4133183843760212    0.7953253588701439 S\n
-1,Sm Al Co Os 0 3 ooo 0 3 oo+ 0 3 o-- 0 3 +oo 0 3 o+o 0 3 ooo 0 2 ooo 1 2 ooo 1 3 ooo 1 3 o+- 1 3 oo- 1 2 -o- 1 2 o-o 1 2 -oo 1 2 oo-,-0.2066007022827141,Sm1 Al1 Co1 Os1\n1.0\n   3.0906813608116459    0.0000000000000000    0.0000000000000000\n  -0.0060766855563061    3.2689738986405450    0.0000000000000000\n  -0.0393669992826895   -0.0579889895989445    6.7913606921908922\nSm Al Co Os\n1 1 1 1\ndirect\n   0.0128297130314369    0.9726547531548104    0.8557908772433124 Sm\n   0.4660001066370772    0.4607424622692796    0.5007574380710957 Al\n   0.4897920977956450    0.4615954509749781    0.1402335864266164 Co\n   0.9619942510612622    0.9543881958367357    0.3008692187738957 Os\n
-1,Dy Sc Sm Cu 0 3 +oo 0 3 --- 0 3 ooo 0 3 o-o 0 2 oo+ 0 2 o+- 0 2 +oo 1 2 -oo 1 2 oo+ 1 3 -oo 1 3 -o- 1 2 ooo,-0.05333844405680299,Sm1 Dy1 Sc1 Cu1\n1.0\n   3.4917627177109347    0.0000000000000000    0.0000000000000000\n  -0.8442801071657836    5.3621316871651317    0.0000000000000000\n  -1.3212308174679273   -2.4988105616155849    5.4762912062325810\nSm Dy Sc Cu\n1 1 1 1\ndirect\n   0.8577327524401867    0.4015999795100078    0.1713827024354974 Sm\n   0.0055211240590614    0.7811387103904895    0.7922729664229701 Dy\n   0.5124874044123782    0.0191580039382819    0.4153287749565994 Sc\n   0.2265928046598144    0.3017047719706841    0.7556009820941653 Cu\n
